Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Message Size (bytes),Signing (ms),Sign Std (ms),Verification (ms),Verify Std (ms),Signature Size (bytes),Family
SPHINCS+-SHA2-192f-simple,Post-Quantum,3,0.40821266174316406,0.04751321456385626,48,0,102400,11.122937202453613,0.38865965385614865,0.909282922744751,0.04272623418202136,35664,SPHINCS+
SPHINCS+-SHA2-192f-simple,Post-Quantum,3,0.40821266174316406,0.04751321456385626,48,0,1048576,13.549910545349121,0.45262110117350646,2.1510236263275146,0.10580292417116277,35664,SPHINCS+
SPHINCS+-SHA2-192s-simple,Post-Quantum,3,25.475266933441162,0.8251198850606828,48,0,1024,246.34282279014587,5.310924409189061,0.35361242294311523,0.02434214349273709,16224,SPHINCS+
SPHINCS+-SHA2-192s-simple,Post-Quantum,3,25.475266933441162,0.8251198850606828,48,0,10240,244.640034198761,3.387811504686664,0.3618917465209961,0.02022520495485079,16224,SPHINCS+
SPHINCS+-SHA2-192s-simple,Post-Quantum,3,25.475266933441162,0.8251198850606828,48,0,102400,246.11429286003113,4.394055351641895,0.48716139793395996,0.03105775815297551,16224,SPHINCS+
SPHINCS+-SHA2-192s-simple,Post-Quantum,3,25.475266933441162,0.8251198850606828,48,0,1048576,248.00020933151245,3.5179974214207173,1.7736661434173584,0.06255487175736352,16224,SPHINCS+
SPHINCS+-SHA2-256f-simple,Post-Quantum,5,1.0643184185028076,0.02895893871605483,64,0,1024,22.440303802490234,0.7164222380302447,0.817598819732666,0.0613295087540739,49856,SPHINCS+
SPHINCS+-SHA2-256f-simple,Post-Quantum,5,1.0643184185028076,0.02895893871605483,64,0,10240,22.490832328796387,0.816086384560065,0.8311741352081299,0.05096771514100653,49856,SPHINCS+
SPHINCS+-SHA2-256f-simple,Post-Quantum,5,1.0643184185028076,0.02895893871605483,64,0,102400,22.68703556060791,0.6995431916785386,0.9495737552642822,0.06226491126321087,49856,SPHINCS+
SPHINCS+-SHA2-256f-simple,Post-Quantum,5,1.0643184185028076,0.02895893871605483,64,0,1048576,25.092835426330566,0.7501743120523789,2.2052063941955566,0.07886509296884207,49856,SPHINCS+
SPHINCS+-SHA2-256s-simple,Post-Quantum,5,16.972837448120117,0.31746013602399464,64,0,1024,222.80730748176575,4.360942516841014,0.47574687004089355,0.025187119920631308,29792,SPHINCS+
SPHINCS+-SHA2-256s-simple,Post-Quantum,5,16.972837448120117,0.31746013602399464,64,0,10240,224.29049134254456,3.664057088259047,0.4935722351074219,0.03945684656283813,29792,SPHINCS+
