Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Message Size (bytes),Signing (ms),Sign Std (ms),Verification (ms),Verify Std (ms),Signature Size (bytes),Family
ML-DSA-44,Post-Quantum,2,0.03485584259033203,0.0010143186060200115,1312,0,1048576,1.211228609085083,0.1000563172303962,1.1016631126403809,0.004615206697159364,2420,ML
ML-DSA-65,Post-Quantum,3,0.06628274917602539,0.002274516993345614,1952,0,1024,0.2582106590270996,0.1792459758200881,0.06189608573913574,0.0009934842114304667,3309,ML
ML-DSA-65,Post-Quantum,3,0.06628274917602539,0.002274516993345614,1952,0,10240,0.2690756320953369,0.18404316844805496,0.07144474983215332,0.0016594015147291363,3309,ML
ML-DSA-65,Post-Quantum,3,0.06628274917602539,0.002274516993345614,1952,0,102400,0.36249566078186035,0.18705654112789571,0.16625499725341797,0.0033927476829462007,3309,ML
ML-DSA-65,Post-Quantum,3,0.06628274917602539,0.002274516993345614,1952,0,1048576,1.3126966953277588,0.16292906301567858,1.1237328052520752,0.006620941339579864,3309,ML
ML-DSA-87,Post-Quantum,5,0.09541821479797363,0.0023173455701290422,2592,0,1024,0.30806779861450195,0.17898982601721072,0.10047769546508789,0.0012389428746557064,4627,ML
ML-DSA-87,Post-Quantum,5,0.09541821479797363,0.0023173455701290422,2592,0,10240,0.3113701343536377,0.1823324939052597,0.10964584350585938,0.001804994867750657,4627,ML
ML-DSA-87,Post-Quantum,5,0.09541821479797363,0.0023173455701290422,2592,0,102400,0.40999937057495117,0.17806611787279614,0.20351433753967285,0.0028485163781063272,4627,ML
ML-DSA-87,Post-Quantum,5,0.09541821479797363,0.0023173455701290422,2592,0,1048576,1.4146289825439453,0.3187701033577224,1.2094166278839111,0.29189288649507855,4627,ML
SPHINCS+-SHA2-128f-simple,Post-Quantum,1,0.6426594257354736,0.010776060648965673,32,0,1024,15.051971197128296,0.27293094738127227,0.9138329029083252,0.07502472017998364,17088,SPHINCS+
SPHINCS+-SHA2-128f-simple,Post-Quantum,1,0.6426594257354736,0.010776060648965673,32,0,10240,15.095959663391113,0.9306902998569239,0.9273312091827393,0.10774998059455254,17088,SPHINCS+
SPHINCS+-SHA2-128f-simple,Post-Quantum,1,0.6426594257354736,0.010776060648965673,32,0,102400,15.449328422546387,1.531408024583934,1.0898303985595703,0.15134981756267155,17088,SPHINCS+
SPHINCS+-SHA2-128f-simple,Post-Quantum,1,0.6426594257354736,0.010776060648965673,32,0,1048576,18.555874347686768,0.5201483351981675,2.7005693912506104,0.08595735584994117,17088,SPHINCS+
SPHINCS+-SHA2-128s-simple,Post-Quantum,1,41.09477877616882,2.391834268427455,32,0,1024,310.81350111961365,6.001691384113301,0.3155646324157715,0.015201985389076588,7856,SPHINCS+
SPHINCS+-SHA2-128s-simple,Post-Quantum,1,41.09477877616882,2.391834268427455,32,0,10240,310.3661172389984,6.354083486865825,0.3328230381011963,0.04270984235270273,7856,SPHINCS+
SPHINCS+-SHA2-128s-simple,Post-Quantum,1,41.09477877616882,2.391834268427455,32,0,102400,310.9946095943451,7.3319610724713185,0.49722552299499506,0.08100273304778303,7856,SPHINCS+
SPHINCS+-SHA2-128s-simple,Post-Quantum,1,41.09477877616882,2.391834268427455,32,0,1048576,312.3747727870941,5.8619459832812835,2.1058261394500732,0.12823022401384251,7856,SPHINCS+
SPHINCS+-SHA2-192f-simple,Post-Quantum,3,0.953444242477417,0.18438597734825146,48,0,1024,24.609551668167114,1.7736258770803703,1.33555269241333,0.07452812402397542,35664,SPHINCS+
SPHINCS+-SHA2-192f-simple,Post-Quantum,3,0.953444242477417,0.18438597734825146,48,0,10240,24.68213939666748,1.57162532115231,1.3466498851776123,0.09521048921560915,35664,SPHINCS+
SPHINCS+-SHA2-192f-simple,Post-Quantum,3,0.953444242477417,0.18438597734825146,48,0,102400,24.845747232437134,1.2209157928977636,1.4563658237457275,0.1917127095407793,35664,SPHINCS+
SPHINCS+-SHA2-192f-simple,Post-Quantum,3,0.953444242477417,0.18438597734825146,48,0,1048576,26.885940551757812,1.4328671795926353,2.492116689682007,0.1626579439657469,35664,SPHINCS+
SPHINCS+-SHA2-192s-simple,Post-Quantum,3,59.59503149986267,1.776784148720037,48,0,1024,553.836008310318,17.23951282514479,0.47627973556518555,0.06345588473625989,16224,SPHINCS+
SPHINCS+-SHA2-192s-simple,Post-Quantum,3,59.59503149986267,1.776784148720037,48,0,10240,560.9999623298645,15.733700430529463,0.4930477142333985,0.05394500516286373,16224,SPHINCS+
SPHINCS+-SHA2-192s-simple,Post-Quantum,3,59.59503149986267,1.776784148720037,48,0,102400,559.7360045909882,16.043939293109236,0.5991039276123047,0.04598293599585025,16224,SPHINCS+
SPHINCS+-SHA2-192s-simple,Post-Quantum,3,59.59503149986267,1.776784148720037,48,0,1048576,556.1129596233368,7.156635466727836,1.656393051147461,0.09629353484629867,16224,SPHINCS+
SPHINCS+-SHA2-256f-simple,Post-Quantum,5,2.4491734504699707,0.019277247065179127,64,0,1024,50.66499376296997,2.7128347877068544,1.3598544597625732,0.13488834722640225,49856,SPHINCS+
SPHINCS+-SHA2-256f-simple,Post-Quantum,5,2.4491734504699707,0.019277247065179127,64,0,10240,50.50406551361084,1.862160029275739,1.3656330108642578,0.13367736476232203,49856,SPHINCS+
SPHINCS+-SHA2-256f-simple,Post-Quantum,5,2.4491734504699707,0.019277247065179127,64,0,102400,50.691187620162964,2.076703535891254,1.47019362449646,0.17839387418884323,49856,SPHINCS+
SPHINCS+-SHA2-256f-simple,Post-Quantum,5,2.4491734504699707,0.019277247065179127,64,0,1048576,52.7076370716095,2.197418903027525,2.5178284645080566,0.22653882311940007,49856,SPHINCS+
SPHINCS+-SHA2-256s-simple,Post-Quantum,5,39.47394800186157,1.6169409366241285,64,0,1024,489.49165177345276,7.42989471666139,0.6843571662902832,0.026444694503566693,29792,SPHINCS+
SPHINCS+-SHA2-256s-simple,Post-Quantum,5,39.47394800186157,1.6169409366241285,64,0,10240,489.73968172073364,7.039664858864507,0.7061886787414551,0.1738058649252817,29792,SPHINCS+
SPHINCS+-SHA2-256s-simple,Post-Quantum,5,39.47394800186157,1.6169409366241285,64,0,102400,492.9788553714752,10.900525750045578,0.8071825504302979,0.034712667008802364,29792,SPHINCS+
SPHINCS+-SHA2-256s-simple,Post-Quantum,5,39.47394800186157,1.6169409366241285,64,0,1048576,494.2762243747711,8.482547519055734,1.8833014965057373,0.16336142799735318,29792,SPHINCS+
SPHINCS+-SHAKE-128f-simple,Post-Quantum,1,0.9607968330383301,0.4872753291273865,32,0,1024,21.044528007507324,0.8344841730133853,1.2624804973602295,0.07036039171817572,17088,SPHINCS+
SPHINCS+-SHAKE-128f-simple,Post-Quantum,1,0.9607968330383301,0.4872753291273865,32,0,10240,21.20975112915039,2.222421153744925,1.2772715091705322,0.17540220410572313,17088,SPHINCS+
SPHINCS+-SHAKE-128f-simple,Post-Quantum,1,0.9607968330383301,0.4872753291273865,32,0,102400,21.303730964660645,0.9635228872423555,1.364419937133789,0.07018398736719482,17088,SPHINCS+
SPHINCS+-SHAKE-128f-simple,Post-Quantum,1,0.9607968330383301,0.4872753291273865,32,0,1048576,23.164857625961304,1.0516861318982562,2.3282675743103027,0.1071415337725779,17088,SPHINCS+
SPHINCS+-SHAKE-128s-simple,Post-Quantum,1,57.64509296417236,2.6461020534549924,32,0,1024,438.8806595802307,11.101800934967779,0.44290709495544434,0.026510000818543846,7856,SPHINCS+
SPHINCS+-SHAKE-128s-simple,Post-Quantum,1,57.64509296417236,2.6461020534549924,32,0,10240,445.0668444633484,17.270497247325913,0.47036051750183105,0.10001770383079195,7856,SPHINCS+
SPHINCS+-SHAKE-128s-simple,Post-Quantum,1,57.64509296417236,2.6461020534549924,32,0,102400,442.2754051685333,16.28887844430465,0.5611894130706787,0.0952885565618035,7856,SPHINCS+
SPHINCS+-SHAKE-128s-simple,Post-Quantum,1,57.64509296417236,2.6461020534549924,32,0,1048576,446.71597933769226,14.760031672525686,1.5685620307922363,0.07878244713896324,7856,SPHINCS+
SPHINCS+-SHAKE-192f-simple,Post-Quantum,3,1.377819538116455,0.018850085096415826,48,0,1024,35.865522384643555,1.451963642983427,1.9578537940979006,0.912075066969698,35664,SPHINCS+
SPHINCS+-SHAKE-192f-simple,Post-Quantum,3,1.377819538116455,0.018850085096415826,48,0,10240,36.06452035903931,1.7111774142154192,1.9484243392944336,0.0536443177030711,35664,SPHINCS+
SPHINCS+-SHAKE-192f-simple,Post-Quantum,3,1.377819538116455,0.018850085096415826,48,0,102400,36.505887269973755,2.329851907501352,2.071584463119507,0.34922967897320395,35664,SPHINCS+
